id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,processed_at
bitcoin,BTC,Bitcoin,68369.0,1366967332390,51436818793,-5.85328,2026-03-06 15:59:12.057865
ethereum,ETH,Ethereum,1976.35,238719719063,21388840549,-6.71658,2026-03-06 15:59:12.057865
tether,USDT,Tether,0.999941,184026632395,78052235371,-0.021,2026-03-06 15:59:12.057865
binancecoin,BNB,BNB,626.29,85430424587,1040793836,-4.59487,2026-03-06 15:59:12.057865
ripple,XRP,XRP,1.35,82858361770,2404982925,-5.41249,2026-03-06 15:59:12.057865
usd-coin,USDC,USDC,0.999904,77377711428,7309029128,-0.00953,2026-03-06 15:59:12.057865
solana,SOL,Solana,84.34,48090065955,4345840669,-7.00784,2026-03-06 15:59:12.057865
tron,TRX,TRON,0.285557,27052344699,560874615,0.86163,2026-03-06 15:59:12.057865
figure-heloc,FIGR_HELOC,Figure Heloc,1.035,16180615692,233532463,1.18529,2026-03-06 15:59:12.057865
dogecoin,DOGE,Dogecoin,0.090249,13841145506,1081705704,-5.17264,2026-03-06 15:59:12.057865
